Year,Ethnic Group,# Male,# Female,Total,% Elder
,Chinese,1071055,1056817,2127872,0.06336800333854668
,Indians,104996,89052,194048,0.05614074868073879
,Others,14290,15320,29610,0.0756838905775076
1991,Malays,199843,192558,392397,0.04384844940200868
,Chinese,1092546,1079755,2172301,0.06369237044037636
,Indians,106931,91852,198781,0.058491505727408556
,Others,14993,16237,31231,0.07482949633377094
1992,Malays,203458,196837,400290,0.04564940418196807
,Chinese,1111145,1101855,2213002,0.06445769140741853
,Indians,108871,94781,203649,0.06119843456142677
,Others,15592,17223,32815,0.07539235105896694
1993,Malays,207143,200945,408086,0.04732580877560122
,Chinese,1130006,1123581,2253588,0.06542367105256151
,Indians,110939,97613,208550,0.06385039558858786
,Others,16140,18188,34330,0.07614331488494029
1994,Malays,210858,205130,415989,0.04864311315924219
,Chinese,1148072,1145128,2293202,0.06652314100545874
,Indians,113502,100770,214278,0.06611971364302448
,Others,16745,19141,35884,0.07641288596589009
1995,Malays,214153,209113,423261,0.049695105384148314
,Chinese,1166325,1166562,2332883,0.06753189079778112
,Indians,116305,103968,220272,0.06911908912617128
,Others,17250,19874,37117,0.07735000134709163
1996,Malays,217365,212710,430075,0.04987734697436494
,Chinese,1184860,1186946,2371806,0.06847229495161071
,Indians,119893,107853,227745,0.07048233770225472
,Others,17900,20608,38505,0.07809375405791456
1997,Malays,220420,216240,436659,0.05046729828080951
,Chinese,1202345,1207761,2410109,0.06953005030062956
,Indians,124215,112217,236431,0.0717291725704328
,Others,18775,21435,40207,0.0786678936503594
1998,Malays,223404,219946,443350,0.051460471410849216
,Chinese,1219890,1228796,2448688,0.0707779022888992
,Indians,128828,116947,245774,0.0723917094566553
,Others,19694,22515,42208,0.0782079226686884
1999,Malays,226305,223178,449480,0.05310581115956216
,Chinese,1235329,1247314,2482641,0.07237051188633395
,Indians,132412,120894,253304,0.0729755550642706
,Others,20761,23494,44258,0.07763568168466718
2000,Malays,228850,226357,455207,0.055420940363395114
,Chinese,1249662,1264185,2513847,0.07453476683346281
,Indians,134337,123529,257866,0.07414315962554195
,Others,21818,24625,46443,0.07708373705402322
2001,Malays,231970,229818,461788,0.056357029632645286
,Chinese,1267019,1285058,2552077,0.07616737269290856
,Indians,136485,126483,262968,0.07409646801131696
,Others,23084,25985,49069,0.07630071939513745
2002,Malays,235076,233284,468360,0.05676616278076693
,Chinese,1283362,1306163,2589525,0.07753313831687278
,Indians,140768,131155,271923,0.07267498519801562
,Others,25089,28047,53136,0.07341538693164709
2003,Malays,235597,234194,469791,0.0554203890666275
,Chinese,1273256,1299351,2572607,0.07887446469670649
,Indians,138642,131257,269899,0.060641202820314266
,Others,25906,28688,54594,0.060849177565300214
2004,Malays,238236,237453,475689,0.05734418916561031
,Chinese,1285557,1314256,2599813,0.08331560769947685
,Indians,142754,135352,278106,0.0617318576370161
,Others,28484,31174,59658,0.0585001173354789
2005,Malays,240406,240316,480722,0.058643041092356914
,Chinese,1297849,1328874,2626723,0.0875200772978346
,Indians,149621,141510,291131,0.061858750871600754
,Others,33263,35975,69238,0.052023455327999076
2006,Malays,242759,243219,485978,0.059665252336525525
,Chinese,1310873,1345485,2656358,0.09155467749452446
,Indians,155938,147158,303096,0.06181209913690712
,Others,38672,41790,80462,0.04714026496979941
2007,Malays,244969,245583,490552,0.059861136026353984
,Chinese,1324715,1362282,2686997,0.09416906680580589
,Indians,161484,151911,313395,0.0614655626286316
,Others,44309,47829,92138,0.04260999804640865
2008,Malays,247017,248093,495110,0.06006544000323161
,Chinese,1339596,1382183,2721779,0.09638916311721121
,Indians,167149,156282,323431,0.060590976127829425
,Others,49230,53109,102339,0.04010201389499604
2009,Malays,249115,250936,500051,0.06119575803268067
,Chinese,1360224,1410079,2770303,0.09925051519635217
,Indians,178129,165380,343509,0.05905813239245551
,Others,57264,62749,120013,0.03574612750285386
2010,Malays,250885,252983,503868,0.061401001849690794
,Chinese,1370083,1423897,2793980,0.10135541414040186
,Indians,180327,167792,348119,0.05689433785573324
,Others,59838,65916,125754,0.03545016460709003
2011,Malays,252227,254410,506637,0.06245694649226172
,Chinese,1375665,1432589,2808254,0.10537045438197543
,Indians,180548,168488,349036,0.05852691412920157
,Others,59730,65594,125324,0.03723947528007405
2012,Malays,253578,255941,509519,0.06660791844857601
,Chinese,1385606,1446378,2831984,0.11216730038022814
,Indians,180948,170077,351025,0.06258243714835125
,Others,59914,65763,125677,0.0403733380013845
2013,Malays,255176,257661,512837,0.07029524000803374
,Chinese,1395183,1458568,2853751,0.11890981378543539
,Indians,180889,170778,351667,0.06691273278413955
,Others,60256,66240,126496,0.04361402732102201
2014,Malays,257036,259621,516657,0.07399493280842029
,Chinese,1403927,1470453,2874380,0.12605605382726015
,Indians,181359,171662,353021,0.07117706878627617
,Others,60088,66593,126681,0.04666050946866539
2015,Malays,259108,261815,520923,0.07794050176321644
,Chinese,1415303,1484704,2900007,0.13306485122277292
,Indians,182304,172648,354952,0.0760807095043837
,Others,59913,66895,126808,0.04905053308939499
2016,Malays,261564,264324,525888,0.0816219423147134
,Chinese,1425244,1497928,2923172,0.14006770727141613
,Indians,182935,173941,356876,0.080285589392394
,Others,59783,67840,127623,0.05133870853999671
2017,Malays,263912,266798,530710,0.08597162292023892
,Chinese,1436284,1511968,2948252,0.14714820849778107
,Indians,183818,175003,358821,0.08447387416009654
,Others,59531,68482,128013,0.05409606836805637
2018,Malays,266486,269338,535824,0.09096457045597062
,Chinese,1445375,1523906,2969281,0.15479403936508535
,Indians,184496,176032,360528,0.08910264944747703
,Others,59481,69169,128650,0.05722502914885348
